id,name,deprecatedInFavorOf,udunitSynonym,parentSi,constantToSi,multiplierToSi,abbreviation,unitType
dimensionless,dimensionless,,,,,,,dimensionless
second,second,,second,,,1,sec,time
meter,meter,,meter,,,1,m,length
kilogram,kilogram,,kilogram,,,1,kg,mass
kelvin,kelvin,,kelvin,,,1,K,temperature
coulomb,coulomb,,coulomb,,,1,C,charge
ampere,ampere,,ampere,,,1,A,current
mole,mole,,mole,,,1,mol,amount
candela,candela,,candela,,,1,cd,luminosity
number,number,,count,,,,,dimensionless
cubicMeter,cubicMeter,meterCubed,meter^3,,,1,m³,volume
nominalMinute,nominalMinute,,minute,second,,60,,time
nominalHour,nominalHour,,hour,second,,3600,,time
nominalDay,nominalDay,,day,second,,86400,,time
nominalWeek,nominalWeek,,week,second,,604800,,time
nominalYear,nominalYear,,common_year,second,,31536000,,time
nominalLeapYear,nominalLeapYear,,leap_year,second,,31622400,,time
nanogram,nanogram,,nanogram,kilogram,,0.000000000001,ng,mass
microgram,microgram,,microgram,kilogram,,0.000000001,μg,mass
milligram,milligram,,milligram,kilogram,,0.000001,mg,mass
centigram,centigram,,centigram,kilogram,,0.00001,cg,mass
decigram,decigram,,decigram,kilogram,,0.0001,dg,mass
gram,gram,,gram,kilogram,,0.001,g,mass
dekagram,dekagram,,dekagram,kilogram,,0.01,dag,mass
hectogram,hectogram,,hectogram,kilogram,,0.1,hg,mass
megagram,megagram,,megagram,kilogram,,1000,Mg,mass
tonne,tonne,,metric_ton,kilogram,,1000,T,mass
pound,pound,,avoirdupois_pound,kilogram,,0.4536,lbs,
ton,ton,,short_ton,kilogram,,907.1999,ton,
celsius,celsius,,celsius,kelvin,273.18,1,C,
fahrenheit,fahrenheit,,fahrenheit,kelvin,255.402,0.556,F,
nanometer,nanometer,,nanometer,meter,,0.000000001,nm,
micrometer,micrometer,,micrometer,meter,,0.000001,μm,
micron,micron,micrometer,micrometer,meter,,0.000001,μ,
millimeter,millimeter,,millimeter,meter,,0.001,mm,
centimeter,centimeter,,centimeter,meter,,0.01,cm,
decimeter,decimeter,,decimeter,meter,,0.1,dm,
dekameter,dekameter,,dekameter,meter,,10,dam,
