,Unit Name,Unit Count,exactMatch
0,percent,34,1
1,microSiemensPerCentimeter,24,0
2,microsiemensPerCentimeter,22,0
3,nephelometricTurbidityUnit,17,0
4,microSiemenPerCentimeter,16,0
5,nominalMonth,15,0
6,microequivalentsPerLiter,14,0
7,decimal degree,12,0
8,partsPerMillion,12,0
9,milligramsPerGram,11,0
10,unitless,10,0
11,numberPerHectare,8,1
12,pH,7,0
13,decimalDegree,7,0
14,feet,7,0
15,micromhosPerCentimeter,6,0
16,microSeimenPerCentimeter,6,0
17,percentSaturation,6,0
18,millimetersPerYear,6,0
19,NTU,6,0
20,relativeFluorescenceUnits,5,0
21,microMolar,5,0
22,Day,5,0
23,Posterior probability,5,0
24,wattsPerSquareMeter,5,0
25,partPerMillion,5,0
26,wattsPerMeterSquared,5,0
27,cubicMeterPerCubicMeter,5,0
28,count,5,0
29,nephelometricTurbidityUnits,5,0
30,dimensionless,5,1
31,perMil,5,0
32,variable,5,0
33,metersPerHectare,5,0
34,day,5,0
35,cellsPerMilliliter,4,0
36,milligramsPerKilogram,4,0
37,nephelometric turbidity units,4,0
38,RelativeFluorescenceUnits,4,0
39,microgramsPerGramPerDay,4,0
40,gramPerKilogram,4,0
41,milliSiemenPerCentimeter,4,0
42,milligramPerGram,4,0
43,megagramsPerHectare,4,0
44,inchesPerYear,4,0
45,millisiemensPerCentimeter,4,0
46,millimetersPerHour,4,0
47,QuinineSulfateUnits,3,0
48,psig,3,0
49,centimeterSquared,3,1
50,numberPerMeterSquared,3,1
51,pH units,3,0
52,milligramsPerMeterSquaredPerDay,3,0
53,micromolesPerSecondPerSquareMeter,3,0
54,days,3,0
55,NephelometricTurbidityUnits,3,0
56,permil,3,1
57,percentage,3,0
58,number of fish,3,0
59,nanogramsPerGram,3,0
60,proportion,3,0
61,decimalDegrees,3,0
62,longitude,3,0
63,minutes,3,0
64,gramsPerKilogram,3,0
65,microatmosphere,3,0
66,ppm,3,0
67,milligramsPerLiterPerDay,3,0
68,microAtmosphere,3,0
69,wattPerMeterSquared,3,1
70,micromolesPerLiter,3,0
71,millimolesPerSquareMeter,3,0
72,millimetersPerDay,3,0
73,microgramPerGram,3,1
74,year,3,0
75,Year,2,0
76,meters,2,0
77,milligramPerGramPerDay,2,0
78,no unit,2,0
79,nanomolePerMeterSquaredPerSecond,2,0
80,millimeterPerYear,2,0
81,none,2,0
82,integer,2,0
83,micromolesPerSquareMeterPerSecond,2,0
84,equivalentsPerHectare,2,0
85,microMolesPerLiter,2,0
86,kilogramsPerMeterCubed,2,0
87,microEquivalentsPerLiter,2,0
88,PracticalSalinityUnit,2,0
89,mS/cm,2,0
90,milliequivalentsPerLiter,2,0
91,microMolePerMeterSquaredPerSecond,2,0
92,SiemensPerMeter,2,0
93,ratio,2,0
94,perMeter,2,0
95,microSeimensPerCentimeter,2,0
96,milligramsPerCubicCentimeter,2,0
97,meterSquared,2,1
98,parts per billion,2,0
99,years,2,0
100,platinumCobaltUnits,2,0
101,centimeterPerHour,2,0
102,numberPerCentimeterSquared,2,0
103,cubicCentimeter,2,0
104,Celsius,2,0
105,chains,2,0
106,index,2,0
107,millimolePerMeterSquaredPerDay,2,0
108,parts per million,2,0
109,milligramPerLiter,2,1
110,rotations per minute,2,0
111,rotations,2,0
112,meterSquaredPerMeterSquared,2,0
113,micromolePerLiter,2,1
114,partPerThousand,2,0
115,Number,2,0
116,gramsPerCubicMeter,2,0
117,PlatinumCobaltUnits,2,0
118,centimolePerKilogram,2,0
119,numberPerAcre,2,0
120,centimeter,2,1
121,months,2,0
122,number,2,1
123,millimeter,2,1
124,microsiemenPerCentimeter,2,0
125,latitude,2,0
126,Percent,2,0
127,microgramsPerMeterSquaredPerDay,2,0
128,millimolePerLiter,2,1
129,cubicMetersPerDay,2,0
130,microatmospheres,2,0
131,individualsPerLiter,2,0
132,inchPerYear,2,0
133,nanomolePerHourPerGram,2,0
134,formazinNephelometricUnits,1,0
135,millimolePerMeterSquaredPerNight,1,0
136,molePerMeterSquared,1,0
137,integer ,1,0
138,layer,1,0
139,meter squares,1,0
140,GramsCellulosePerGramLitter,1,0
141,g water / cm^2,1,0
142,GramsLigninPerGramsLitter,1,0
143,gram leaf per gram sample,1,0
144,ug-N/g dry soil/day,1,0
145,ugC/g soil,1,0
146,ugC/g soil/day,1,0
147,ug-N/g dry soil,1,0
148,mg S/L,1,0
149,ug-N/g dry soil/hour,1,0
150,decisiemenPerMeter,1,0
151,millimeterMercury,1,0
152,nephelometric turbidity unit,1,0
153,µg P/L,1,0
154,pointPerSquareMeter,1,0
155,mg non-mobile C / cm^2,1,0
156,meterSquaredPerMeterCubed,1,0
157,millimeterCubedPerLiter,1,0
158,number of individuals,1,0
159,milligramPerMeterCubedPerHour,1,0
160,millimeteCubedrPerLiter,1,0
161,"percent nitrogen not measured on this sample, or sample was lost",1,0
162,celcius,1,0
163,GramsLigninPerGramsCelluloseAndLignin,1,0
164,mg active N / kg dry soil,1,0
165,micromolePerMeterSquared,1,0
166,mg org N / cm^2,1,0
167,kiloJoulePerMeterSquared,1,0
168,Variance of center of mass,1,0
169,center of mass,1,0
170,time spent in safety area,1,0
171,microgramC-CO2PerGramDrySoilPerDay,1,0
172,gramCarbonPerKilogramDrySoil,1,0
173,microgramC-CO2PerGramDrySoilPerHour,1,0
174,mg C / cm^2,1,0
175,gramDryPlantBiomassPerYear,1,0
176,milligramNitrogenPerKilogramDrySoilPerDay,1,0
177,micromolePerHourPerGramDrySoil,1,0
178,whole bees,1,0
179,gramPerDay,1,0
180,mg non-mobile C / g dry soil,1,0
181,VarroaPerDay,1,0
182,mg org N / kg dry soil,1,0
183,mg org C / g dry soil,1,0
184,mg non-mobile N / cm^2,1,0
185,mg active C / g dry soil,1,0
186,mg mineral N / cm^2,1,0
187,mg mineral N / kg dry soil,1,0
188,mg org C / cm^2,1,0
189,mg fine particles / cm^2,1,0
190,mg active N / cm^2,1,0
191,cm amsl NAVD 88,1,0
192,variance of center of mass,1,0
193,mg organic matter / cm^2,1,0
194,volts,1,0
195,time spent in fear area,1,0
196,g / cm^3,1,0
197,milligrams oxygen per gram dry mass of litter per hour,1,0
198,percent per thousand,1,0
199,kilopascals,1,0
200,centimeterPerGram,1,0
201,formazinNephelometricUnit,1,0
202,mg N / cm^2,1,0
203,literPerMilligramPerMeter,1,0
204,milligramPerGramPerHour,1,0
205,numberPerThreeTenthsMeterSquared,1,0
206,miligram-carbon per square meter per day,1,0
207,frustules,1,0
208,gram-carbon per square meter per day,1,0
209,CubicMicronPerMililiter,1,0
210,micrometerCubedPerMillimeterSquared,1,0
211,microSiemensperCentimeter,1,0
212,cellsPerMillimeterSquared,1,0
213,CatchperTrawl,1,0
214,micrometerCubed,1,0
215,mg active C / cm^2,1,0
216,CubicMeterperSquareMeterperDay,1,0
217,micrometerCubedPerMilliliter,1,0
218,mg non-mobile N / kg dry soil,1,0
219,microsiemens/cm,1,0
220,Day of the year,1,0
221,percent saturation,1,0
222,meterCubedPerMole,1,0
223,partsPerMillionPerSecond,1,0
